original_index,image_link,predicted_value
1,https://m.media-amazon.com/images/I/11TU2clswzL.jpg,42.0 cm
6,https://m.media-amazon.com/images/I/11gHj8dhhrL.jpg,10.50 inch
8,https://m.media-amazon.com/images/I/21+i52HRW4L.jpg,30 cm
11,https://m.media-amazon.com/images/I/213wY3gUsmL.jpg,139.5 centimeter
14,https://m.media-amazon.com/images/I/214CLs1oznL.jpg,4.3 inch
20,https://m.media-amazon.com/images/I/21BMc5GC4iL.jpg,120 centimeters
21,https://m.media-amazon.com/images/I/21CxlWbim3L.jpg,14 inches
23,https://m.media-amazon.com/images/I/21GLFXwC1mS.jpg,32.0 cm
25,https://m.media-amazon.com/images/I/21H+7R85YZL.jpg,3.8 inch
32,https://m.media-amazon.com/images/I/21aD6ktvwxS.jpg,5.8 inch
40,https://m.media-amazon.com/images/I/21d6Dtc94mL.jpg,47.2 inch
42,https://m.media-amazon.com/images/I/21jOOqo0oZL.jpg,48 inch
47,https://m.media-amazon.com/images/I/21m65YQrQdL.jpg,5.8 inch
48,https://m.media-amazon.com/images/I/21nEy7KBQlL.jpg,47 inch
55,https://m.media-amazon.com/images/I/21qgWY60ABL.jpg,96.52 cm
58,https://m.media-amazon.com/images/I/21s+qly8nXL.jpg,47.2 inch
64,https://m.media-amazon.com/images/I/21vCDAVwSXS.jpg,280mm
68,https://m.media-amazon.com/images/I/21ykCJJsDpL.jpg,4.2 inch
71,https://m.media-amazon.com/images/I/21ztnqtFNVL.jpg,9.1 inch
85,https://m.media-amazon.com/images/I/31+X1Lh3+eL.jpg,39 inch
90,https://m.media-amazon.com/images/I/31+nz2egbjL.jpg,60.0 cm
92,https://m.media-amazon.com/images/I/31+sbhHNfYS.jpg,400 mm
96,https://m.media-amazon.com/images/I/31-4a-yI8sS.jpg,12.5 inch
103,https://m.media-amazon.com/images/I/31-QiMl+gwL.jpg,62 cm
106,https://m.media-amazon.com/images/I/31-Ubz8YvUL.jpg,16.0 centimeter
118,https://m.media-amazon.com/images/I/3107VVwSyXL.jpg,10.0 inch
128,https://m.media-amazon.com/images/I/310VuJknGFS.jpg,180 cm
130,https://m.media-amazon.com/images/I/310YvVAYofL.jpg,31.0 centimeter
131,https://m.media-amazon.com/images/I/310aYU-JigL.jpg,25.6 inch
139,https://m.media-amazon.com/images/I/310oxdFmgLL.jpg,100mm
143,https://m.media-amazon.com/images/I/310qlaeUSAL.jpg,33.8 inch
146,https://m.media-amazon.com/images/I/310rX4WoAFL.jpg,90.0 cm
148,https://m.media-amazon.com/images/I/311+pYVZ1zL.jpg,50.0 cm
154,https://m.media-amazon.com/images/I/31196HWGAjL.jpg,10.0 centimeter
156,https://m.media-amazon.com/images/I/311JBecauYL.jpg,35mm
157,https://m.media-amazon.com/images/I/311KCsFxw9L.jpg,36.2 inch
163,https://m.media-amazon.com/images/I/311ZqD+0WiL.jpg,80 inch
168,https://m.media-amazon.com/images/I/311lBTY41pL.jpg,10.5 centimeter
173,https://m.media-amazon.com/images/I/3121-R7e6gL.jpg,7.8 inch
175,https://m.media-amazon.com/images/I/312BjPAAlcL.jpg,14.0 cm
180,https://m.media-amazon.com/images/I/3130yji+ASL.jpg,5.9 inch
186,https://m.media-amazon.com/images/I/313PqxvaGFL.jpg,5.08 cm
196,https://m.media-amazon.com/images/I/313iZcTsPNL.jpg,33.3 cm
202,https://m.media-amazon.com/images/I/31445Xcd2XL.jpg,37.5 cm
214,https://m.media-amazon.com/images/I/314oOH7ICvS.jpg,151.5 centimeters
225,https://m.media-amazon.com/images/I/3158RU753EL.jpg,3.00 ft
233,https://m.media-amazon.com/images/I/315T7LAYrLL.jpg,70 cm
235,https://m.media-amazon.com/images/I/315YvNM5jML.jpg,75.6 inches
236,https://m.media-amazon.com/images/I/315ZwdYq-nL.jpg,72 cm
237,https://m.media-amazon.com/images/I/315b6Zdm7BL.jpg,183.0 cm
240,https://m.media-amazon.com/images/I/315ldex3oEL.jpg,60 cm
246,https://m.media-amazon.com/images/I/31655QolL+L.jpg,151.0 cm
248,https://m.media-amazon.com/images/I/316PuR+4P7L.jpg,180 cm
249,https://m.media-amazon.com/images/I/316QBt0qRVL.jpg,4.6 inch
251,https://m.media-amazon.com/images/I/316QheTdnoL.jpg,65.0 centimeter
257,https://m.media-amazon.com/images/I/316pJ84mB-S.jpg,16.29 inch
258,https://m.media-amazon.com/images/I/316rD0Fy5eL.jpg,205 centimeters
262,https://m.media-amazon.com/images/I/316vEjFHFXL.jpg,80 cm
263,https://m.media-amazon.com/images/I/317+4WLmMhL.jpg,41 inch
268,https://m.media-amazon.com/images/I/317H4RZWLvL.jpg,8.0 cm
271,https://m.media-amazon.com/images/I/317JgcKuEKL.jpg,2.75 inch
283,https://m.media-amazon.com/images/I/3187NaQvGVL.jpg,5.8 inch
286,https://m.media-amazon.com/images/I/318R0lcGWuL.jpg,27 cm
295,https://m.media-amazon.com/images/I/319+HHdREmL.jpg,2.55 inch
296,https://m.media-amazon.com/images/I/31933u5NyqL.jpg,44.88 inch
310,https://m.media-amazon.com/images/I/319rBAua1EL.jpg,1.8 inch
311,https://m.media-amazon.com/images/I/31A-FrsRYJL.jpg,80 cm
316,https://m.media-amazon.com/images/I/31ALW6ILdNS.jpg,5.0 cm
318,https://m.media-amazon.com/images/I/31AQgkAeoeS.jpg,15.2 centimeters
329,https://m.media-amazon.com/images/I/31AwaGMCddL.jpg,7.0 centimeter
344,https://m.media-amazon.com/images/I/31BN3P0+FZL.jpg,25.0 centimeter
345,https://m.media-amazon.com/images/I/31BVEDiDPxL.jpg,75.0 centimeter
346,https://m.media-amazon.com/images/I/31Bb9t5+zUL.jpg,8.5 centimeter
351,https://m.media-amazon.com/images/I/31C+5WzuXOL.jpg,2.8 inch
358,https://m.media-amazon.com/images/I/31C8QnlC+US.jpg,3.1 inch
361,https://m.media-amazon.com/images/I/31CUWR5Vl6L.jpg,0.78 inch
366,https://m.media-amazon.com/images/I/31CuqYq6tSL.jpg,35 cm
369,https://m.media-amazon.com/images/I/31CwvpacgHS.jpg,175.0 centimeter
370,https://m.media-amazon.com/images/I/31Czfm+KFwL.jpg,64 cm
374,https://m.media-amazon.com/images/I/31D0mqjJbmL.jpg,7.0 inch
381,https://m.media-amazon.com/images/I/31DOXzkNKSL.jpg,4.7 inch
387,https://m.media-amazon.com/images/I/31DThunqDhL.jpg,14.0 cm
391,https://m.media-amazon.com/images/I/31DmuvUrq-L.jpg,100 cm
394,https://m.media-amazon.com/images/I/31DvN4cwQUL.jpg,11.5 cm
400,https://m.media-amazon.com/images/I/31E2Za-l0aL.jpg,15.0 cm
404,https://m.media-amazon.com/images/I/31EALe-kFOL.jpg,7.1 cm
409,https://m.media-amazon.com/images/I/31EM4A8ItRL.jpg,23.5 cm
413,https://m.media-amazon.com/images/I/31ESGvgb7nL.jpg,171mm
425,https://m.media-amazon.com/images/I/31Ewj0PXNdL.jpg,27 inch
